,sig_A,fake_A,sig_B,fake_B
71,0.30417934,-0.96965116,-0.9526148,0.3516809
72,0.29463777,-0.98100144,-0.955609,0.3426464
73,0.28506672,-0.98845774,-0.95850766,0.33157352
74,0.2754672,-0.99447805,-0.9613105,0.31954902
75,0.26584008,-0.9801943,-0.96401715,0.31669554
76,0.2561864,-0.99103945,-0.9666274,0.31515953
77,0.2465071,-1.0004153,-0.969141,0.3046574
78,0.23680314,-0.9932917,-0.9715577,0.29183662
79,0.22707552,-0.98799866,-0.97387713,0.2863882
80,0.21732517,-1.0003682,-0.97609925,0.2790226
81,0.20755309,-1.0065755,-0.97822374,0.26771855
82,0.19776025,-1.0116577,-0.9802504,0.25545418
83,0.18794765,-0.995941,-0.98217905,0.2516219
84,0.17811623,-1.0066423,-0.98400944,0.2502575
85,0.16826701,-1.014083,-0.98574144,0.23801002
86,0.15840097,-1.0062692,-0.98737484,0.22412637
87,0.14851907,-1.0005502,-0.98890954,0.21783736
88,0.13862233,-1.0119541,-0.9903453,0.20936468
89,0.12871173,-1.0186195,-0.99168205,0.19653642
90,0.11878824,-1.0222425,-0.9929196,0.18482131
91,0.108852886,-1.0054373,-0.9940579,0.17942828
92,0.09890664,-1.0165797,-0.99509674,0.17761126
93,0.08895051,-1.0240421,-0.99603605,0.16100842
94,0.078985475,-1.015158,-0.99687576,0.14755702
95,0.069012545,-1.0083041,-0.9976158,0.13423222
96,0.059032712,-1.0183729,-0.998256,0.12962046
97,0.049046975,-1.0240988,-0.99879646,0.118736774
98,0.039056335,-1.0275072,-0.999237,0.11284834
99,0.029061789,-1.0106833,-0.99957764,0.09839821
100,0.019064335,-1.0212829,-0.99981827,0.09278977
101,0.009064975,-1.0272218,-0.99995893,0.07466239
102,-0.0009352911,-1.0173935,-0.9999996,0.066394374
103,-0.010935464,-1.0101669,-0.9999402,0.04728891
104,-0.020934543,-1.019428,-0.99978083,0.044149444
105,-0.030931529,-1.0252961,-0.9995215,0.036022916
106,-0.04092542,-1.0268425,-0.9991622,0.029837832
107,-0.05091522,-1.009241,-0.998703,0.012189195
108,-0.06089993,-1.0182215,-0.99814385,0.0063955933
109,-0.07087854,-1.0241107,-0.997485,-0.012363881
110,-0.08085007,-1.0126171,-0.9967263,-0.01549916
111,-0.09081352,-1.0060612,-0.9958679,-0.041234598
112,-0.10076788,-1.0142913,-0.99490994,-0.038915813
113,-0.11071216,-1.0200849,-0.9938525,-0.05108428
114,-0.120645374,-1.020058,-0.9926957,-0.0640514
115,-0.13056652,-1.0014778,-0.9914396,-0.07359461
116,-0.1404746,-1.0095608,-0.9900843,-0.074386574
117,-0.15036865,-1.0151309,-0.98863,-0.09250787
118,-0.16024765,-1.0034066,-0.9870768,-0.09346303
119,-0.17011063,-0.9963104,-0.985425,-0.12501682
120,-0.17995659,-1.0032213,-0.9836745,-0.11786632
121,-0.18978456,-1.0090636,-0.98182577,-0.12967864
122,-0.19959354,-1.0077757,-0.9798788,-0.13585691
123,-0.20938258,-0.99023813,-0.9778338,-0.15464672
124,-0.21915066,-0.99586636,-0.975691,-0.14979975
125,-0.22889683,-1.0020616,-0.97345066,-0.16151436
126,-0.23862012,-0.9890544,-0.97111297,-0.16751246
127,-0.24831952,-0.98127526,-0.9686782,-0.1974047
128,-0.25799412,-0.9865251,-0.96614647,-0.18657345
129,-0.2676429,-0.9907617,-0.9635182,-0.20134906
130,-0.2772649,-0.9887534,-0.9607935,-0.21186823
131,-0.28685918,-0.9718136,-0.95797276,-0.2252597
132,-0.29642478,-0.9758081,-0.9550562,-0.22427307
133,-0.30596074,-0.9812555,-0.9520441,-0.24613364
134,-0.3154661,-0.96753615,-0.9489368,-0.24634486
135,-0.3249399,-0.9604665,-0.9457347,-0.26151806
136,-0.33438122,-0.9636128,-0.9424379,-0.25789887
137,-0.34378907,-0.96755046,-0.9390469,-0.28809455
138,-0.3531626,-0.9652011,-0.93556195,-0.28972062
139,-0.36250073,-0.94896483,-0.9319835,-0.3044778
140,-0.37180266,-0.9504784,-0.92831177,-0.3163359
141,-0.3810674,-0.95536804,-0.92454726,-0.34394217
142,-0.39029402,-0.9413512,-0.9206903,-0.31785405
143,-0.39948162,-0.9346626,-0.9167412,-0.33875796
144,-0.40862924,-0.9348397,-0.9127005,-0.34817636
145,-0.41773602,-0.93898684,-0.90856844,-0.38850403
146,-0.42680103,-0.93586236,-0.9043456,-0.34292904
147,-0.43582335,-0.9206283,-0.9000322,-0.37182993
148,-0.44480208,-0.92005265,-0.89562887,-0.38651133
149,-0.45373634,-0.9242804,-0.891136,-0.4176011
150,-0.4626252,-0.910996,-0.88655394,-0.39545566
151,-0.4714678,-0.90345246,-0.88188326,-0.40035665
152,-0.48026326,-0.90395147,-0.87712437,-0.43939146
153,-0.4890107,-0.90528077,-0.8722778,-0.44761288
154,-0.4977092,-0.9011037,-0.86734396,-0.43196693
155,-0.50635797,-0.888766,-0.8623234,-0.44661313
156,-0.51495606,-0.88361394,-0.8572166,-0.4616047
157,-0.52350265,-0.8879655,-0.852024,-0.46767074
158,-0.5319969,-0.87510246,-0.84674627,-0.4763786
159,-0.540438,-0.86716235,-0.8413839,-0.4818909
160,-0.54882497,-0.8696467,-0.83593726,-0.49482918
161,-0.5571571,-0.86633974,-0.83040714,-0.5031418
162,-0.5654335,-0.8613571,-0.8247939,-0.5101913
163,-0.57365334,-0.850575,-0.8190982,-0.5150585
164,-0.58181584,-0.8438469,-0.8133206,-0.52775025
165,-0.5899201,-0.84703475,-0.8074616,-0.53433084
166,-0.5979654,-0.83696747,-0.8015219,-0.5439714
167,-0.6059509,-0.8270032,-0.79550207,-0.5479742
168,-0.6138758,-0.8314353,-0.7894026,-0.5623613
169,-0.6217393,-0.8238049,-0.7832242,-0.56815636
170,-0.6295406,-0.8160748,-0.7769675,-0.5768603
171,-0.63727903,-0.8074707,-0.77063316,-0.5799629
172,-0.64495367,-0.80232745,-0.76422167,-0.5925132
173,-0.6525638,-0.79912215,-0.75773376,-0.59751666
174,-0.6601087,-0.7923676,-0.7511701,-0.6072528
175,-0.6675875,-0.7806077,-0.74453133,-0.6103147
176,-0.67499965,-0.7875825,-0.73781806,-0.6210576
177,-0.6823442,-0.77523136,-0.731031,-0.62908304
178,-0.68962055,-0.76469195,-0.72417086,-0.6342137
179,-0.69682795,-0.7578324,-0.7172383,-0.6386533
180,-0.70396566,-0.75625086,-0.710234,-0.647953
181,-0.711033,-0.74603385,-0.7031587,-0.6543181
182,-0.71802914,-0.7424834,-0.69601303,-0.66270345
183,-0.72495353,-0.7277748,-0.6887978,-0.66734576
184,-0.73180544,-0.73587465,-0.6815136,-0.67474735
185,-0.7385841,-0.71994376,-0.6741613,-0.68421185
186,-0.74528897,-0.7095411,-0.6667416,-0.6898614
187,-0.75191927,-0.70131534,-0.6592552,-0.6952996
188,-0.75847435,-0.69899064,-0.6517029,-0.7003999
189,-0.7649536,-0.68417716,-0.6440854,-0.7080579
190,-0.77135634,-0.68426776,-0.6364035,-0.71801555
191,-0.77768195,-0.66547805,-0.62865794,-0.7233752
192,-0.78392977,-0.67127365,-0.6208495,-0.72619486
193,-0.7900992,-0.6540664,-0.612979,-0.7376064
194,-0.7961896,-0.64683235,-0.60504717,-0.74371433
195,-0.80220044,-0.636453,-0.59705484,-0.7500185
196,-0.808131,-0.63222003,-0.5890028,-0.7507076
197,-0.81398076,-0.61790913,-0.58089185,-0.75978804
198,-0.8197491,-0.6198537,-0.5727228,-0.7697668
199,-0.82543546,-0.59821504,-0.5644965,-0.7761209
200,-0.83103925,-0.60204107,-0.55621374,-0.7764083
201,-0.83656,-0.5850131,-0.54787534,-0.7884853
202,-0.841997,-0.57992727,-0.5394822,-0.79300964
203,-0.8473499,-0.5681253,-0.531035,-0.8005543
204,-0.852618,-0.5618093,-0.5225348,-0.7994473
205,-0.8578008,-0.5491576,-0.5139823,-0.80835176
206,-0.8628979,-0.551777,-0.50537837,-0.8168925
207,-0.8679086,-0.53013086,-0.49672395,-0.82397425
208,-0.87283254,-0.5335854,-0.48801982,-0.8229737
209,-0.8776692,-0.5187631,-0.47926688,-0.83507955
210,-0.8824181,-0.5154022,-0.47046605,-0.8373506
211,-0.88707876,-0.50369114,-0.46161813,-0.84524333
212,-0.8916507,-0.49559227,-0.45272407,-0.84256005
213,-0.8961334,-0.48401794,-0.4437847,-0.8516669
214,-0.9005266,-0.4843413,-0.434801,-0.85858333
215,-0.9048296,-0.46485838,-0.4257738,-0.865837
216,-0.90904224,-0.4660367,-0.416704,-0.863389
217,-0.9131639,-0.4524048,-0.40759254,-0.8757068
218,-0.91719425,-0.45064813,-0.3984403,-0.87600315
219,-0.92113286,-0.43677503,-0.38924825,-0.8840749
220,-0.9249794,-0.42706308,-0.38001725,-0.87976515
221,-0.9287334,-0.4162703,-0.37074825,-0.8887508
222,-0.9323945,-0.41291428,-0.36144215,-0.89400744
223,-0.93596244,-0.39667657,-0.35209993,-0.9012121
224,-0.9394367,-0.39549094,-0.3427225,-0.8970406
225,-0.94281703,-0.38269782,-0.33331078,-0.90896904
226,-0.94610304,-0.38165885,-0.32386574,-0.9073067
227,-0.94929445,-0.3677634,-0.3143883,-0.91490805
228,-0.95239097,-0.35455784,-0.30487943,-0.90840995
229,-0.9553922,-0.3432205,-0.29534006,-0.9159976
230,-0.9582979,-0.34138593,-0.28577113,-0.9192488
231,-0.96110773,-0.32349244,-0.27617365,-0.92522335
232,-0.9638215,-0.3168439,-0.26654854,-0.917835
233,-0.96643883,-0.31325716,-0.2568968,-0.9262148
234,-0.96895957,-0.31269082,-0.24721935,-0.9226886
235,-0.97138333,-0.29998648,-0.23751718,-0.9263421
236,-0.97371,-0.28181252,-0.22779125,-0.915535
237,-0.9759393,-0.26983067,-0.21804254,-0.91680264
238,-0.9780709,-0.27555165,-0.20827202,-0.91753626
239,-0.9801048,-0.25234938,-0.19848068,-0.9164344
240,-0.98204064,-0.23590447,-0.18866949,-0.9038223
241,-0.98387825,-0.25098273,-0.17883943,-0.9001579
242,-0.9856175,-0.23882614,-0.16899148,-0.89516866
243,-0.9872582,-0.24032457,-0.15912664,-0.88739824
244,-0.9888001,-0.22198768,-0.14924587,-0.8689028
245,-0.99024314,-0.20718189,-0.13935019,-0.8567319
246,-0.99158716,-0.196294,-0.12944058,-0.85289586
247,-0.992832,-0.17736445,-0.119518004,-0.838984
248,-0.9939776,-0.14607696,-0.10958348,-0.81292033
249,-0.9950237,-0.19178843,-0.09963801,-0.78485715
250,-0.9959704,-0.20462456,-0.089682564,-0.77459586
251,-0.99681747,-0.11476202,-0.07971815,-0.74748254
252,-0.9975648,-0.116225526,-0.06974577,-0.7028587
253,-0.9982124,-0.12715727,-0.05976641,-0.63922286
254,-0.99876016,0.062109355,-0.049781073,-0.58280724
255,-0.99920803,0.09900989,-0.03979076,-0.48305506
